territoire,ligne,nom_ligne,arret_id,code,arret,latitude,longitude
TàD Roissy Fosses,TàD,TàD Roissy Fosses,IDFM:38195,,Cimetière,49.08669789545123,2.5008432506113483
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:40677,,Cimetière,48.98492637716718,2.5529604656064837
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:18895,,Cimetière,48.93960354879296,2.5247241858756477
TàD 6131,TàD 6131,TàD 6131,IDFM:12744,,Cimetière,48.795225445106475,2.179608678904626
TàD 6131,TàD 6131,TàD 6131,IDFM:12745,,Cimetière,48.79509699049427,2.1805500318766406
TàD 4342,TàD 4342,TàD 4342,IDFM:12915,,Cimetière,48.40122679703732,2.4532271606926743
TàD 4305,TàD 4305,TàD 4305,IDFM:12911,,Cimetière,48.43894839364154,2.372885686897327
TàD 4305,TàD 4305,TàD 4305,IDFM:12906,,Cimetière,48.43882202008137,2.372806069949326
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:19348,,Cimetière,48.93963718940158,2.524136891672894
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:38165,,Cimetière de Villepinte,48.96622284117892,2.5412116794511785
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:40455,,Cimetière de Villepinte,48.96642103420186,2.5413055355546663
TàD 4318,TàD 4318,TàD 4318,IDFM:427090,,Cinéma,48.56327426017702,2.4488803296661885
TàD 4318,TàD 4318,TàD 4318,IDFM:462594,,Cinéma,48.563300680792736,2.448758075690682
TàD Gretz-Tournan,TàD,TàD Gretz-Tournan,IDFM:495841,,Cité des Troènes,48.73930925755127,2.729081638524046
TàD Gretz-Tournan,TàD,TàD Gretz-Tournan,IDFM:16295,,Cité des Troènes,48.73877934648212,2.7294107437924873
TàD Roissy Fosses,TàD,TàD Roissy Fosses,IDFM:38196,,Cité Jardins,49.09123716087539,2.504852029778885
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:40706,,Claude Nicolas Ledoux,48.968520429438165,2.5447562510758472
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:38164,,Claude Nicolas Ledoux,48.969254695331834,2.546307722363701
TàD 4305,TàD 4305,TàD 4305,IDFM:37110,,Clercy,48.460115712243024,2.3491916942554414
TàD 4344,TàD 4344,TàD 4344,IDFM:37110,,Clercy,48.460115712243024,2.3491916942554414
TàD 4305,TàD 4305,TàD 4305,IDFM:12907,,Clercy,48.46051978574802,2.349051421721829
TàD 4344,TàD 4344,TàD 4344,IDFM:12907,,Clercy,48.46051978574802,2.349051421721829
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16702,,Clinique,48.884433824415794,2.629654768923565
TàD Dimanche,TàD,TàD Dimanche,IDFM:16702,,Clinique,48.884433824415794,2.629654768923565
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16702,,Clinique,48.884433824415794,2.629654768923565
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16701,,Clinique,48.8838906605453,2.628499559298588
TàD Dimanche,TàD,TàD Dimanche,IDFM:16701,,Clinique,48.8838906605453,2.628499559298588
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16701,,Clinique,48.8838906605453,2.628499559298588
TàD Eaubonne Domont,TàD,TàD Eaubonne Domont,IDFM:14231,,Clinique,49.025045839206946,2.3259250008240735
TàD Eaubonne Domont,TàD,TàD Eaubonne Domont,IDFM:14230,,Clinique,49.02493343806646,2.325925092576681
TàD 3209,TàD 3209,TàD 3209,IDFM:10019,,Clinique - Patton,48.56235203678966,3.3152415850522745
TàD Sud Meulan - Les Mureaux,TàD,TàD Sud Meulan - Les Mureaux,IDFM:13610,,Clinique de Bazincourt,48.9706465688058,1.947398118557638
TàD Sud Meulan - Les Mureaux,TàD,TàD Sud Meulan - Les Mureaux,IDFM:13611,,Clinique de Bazincourt,48.97054933935294,1.9465668310121365
TàD Eaubonne Domont,TàD,TàD Eaubonne Domont,IDFM:13288,,Clos des Bottes,49.01459461150872,2.285867015778302
TàD 4318,TàD 4318,TàD 4318,IDFM:10424,,Clos Manoir,48.57369967606572,2.4372348614455177
TàD 4318,TàD 4318,TàD 4318,IDFM:10419,,Clos Manoir,48.57405452304119,2.4380850595061156
TàD Sud Meulan - Les Mureaux,TàD,TàD Sud Meulan - Les Mureaux,IDFM:13614,,Clos Saint-Denis,48.96814885157316,1.9364529394166852
TàD 4595,TàD 4595,TàD 4595,IDFM:3171,,Clos Thiéry,48.6514180078262,2.281389852228512
TàD 4595,TàD 4595,TàD 4595,IDFM:10172,,Clos Thiéry,48.65149503553376,2.282230505070877
TàD Goêle,TàD,TàD Goêle,IDFM:487391,,Clément Ader,49.06308777161968,2.69477068163941
TàD Luzarches - Goussainville,TàD,TàD Luzarches - Goussainville,IDFM:419616,,Collège A. de Noailles - Lycée G. de Nerval,49.10736968387655,2.4245132095743878
TàD Aigremont - Chambourcy,TàD,TàD Aigremont - Chambourcy,IDFM:13765,,Collège André Derain,48.91038818151684,2.031231615402176
TàD Eaubonne Domont,TàD,TàD Eaubonne Domont,IDFM:13295,,Collège Augustin Bosc,49.00722532392397,2.2701533632658872
TàD Eaubonne Domont,TàD,TàD Eaubonne Domont,IDFM:13294,,Collège Augustin Bosc,49.00704524311597,2.2701148867298953
TàD 4592,TàD 4592,TàD 4592,IDFM:10436,,Collège Blaise Pascal,48.66086979795824,2.3272635553835657
TàD Goêle,TàD,TàD Goêle,IDFM:38242,,Collège de l'Europe,49.062773321014255,2.6810210077040715
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16672,,Collège de l'Europe,48.88948675094917,2.598593234999933
TàD Dimanche,TàD,TàD Dimanche,IDFM:16672,,Collège de l'Europe,48.88948675094917,2.598593234999933
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16672,,Collège de l'Europe,48.88948675094917,2.598593234999933
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16671,,Collège de l'Europe,48.88933378148067,2.5985671390470295
TàD Dimanche,TàD,TàD Dimanche,IDFM:16671,,Collège de l'Europe,48.88933378148067,2.5985671390470295
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16671,,Collège de l'Europe,48.88933378148067,2.5985671390470295
TàD Roissy Othis,TàD,TàD Roissy Othis,IDFM:423624,,Collège de l'Europe,49.06387070763337,2.681178462270877
TàD Goêle,TàD,TàD Goêle,IDFM:423624,,Collège de l'Europe,49.06387070763337,2.681178462270877
TàD 4301/4530,TàD 4301,TàD 4301/4530,IDFM:11734,,Collège Doisneau,48.52498749868368,2.3524226246003703
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:18915,,Collège Evariste Galois,48.945474052410034,2.5197829854092357
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:19335,,Collège Evariste Galois,48.9454457077848,2.5194419374639536
TàD Roissy Fosses,TàD,TàD Roissy Fosses,IDFM:414477,,Collège Françoise Dolto,49.085847919479825,2.506217660024381
TàD Goêle,TàD,TàD Goêle,IDFM:40306,,Collège Georges Brassens,49.038751438520556,2.7035711656215224
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:495030,,Collège Gérard Philipe,48.94042116754075,2.623195132184258
TàD 4595,TàD 4595,TàD 4595,IDFM:479786,,Collège Jean Moulin,48.63473186572999,2.2995199367991805
TàD 4344,TàD 4344,TàD 4344,IDFM:485609,,Collège L. de Vincy,48.47727471662614,2.3546483993537533
TàD 2429,TàD 2429,TàD 2429,IDFM:479591,,Collège les Glacis,48.93816576813328,3.128571505597882
